affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
lu.lu.se,,lu.se,0.858823529,,120,Lund University,Lunds Universitet,,
nes.nes.ru,,nes.ru,1,,398,New Economic School,New Economic School,TRUE,398
n.netflix.com,,netflix.com,0.601190476,,93,Netflix,Cornell University,,
nub.neu.edu,,neu.edu,0.904761905,,38,"Northeastern University, Boston",Boston University,,
uon.newcastle.edu.au,,newcastle.edu.au,0.855218855,,302,University of Newcastle,University of Manchester,,
nsfsr.newschool.edu,,newschool.edu,0.698437056,,3,New School for Social Research,National Bureau of Economic Research,,
nioeasr.niesr.ac.uk,,niesr.ac.uk,0.856330749,,425,National Institute of Economic and Social Research,National Research University Higher School of Economics,,
niu.niu.edu,,niu.edu,0.838461538,,43,Northern Illinois University,Northwestern University,,
nu.nju.edu.cn,,nju.edu.cn,0.683333333,,480,Nanjing University,Indiana University,,
uon.nottingham.ac.uk,,nottingham.ac.uk,1,,89,University of Nottingham,University of Nottingham,TRUE,89
nsobae.novasbe.pt,,novasbe.pt,0.746313364,,213,Nova School of Business and Economics,Athens University of Economics and Business,,
nps.nps.edu,,nps.edu,0.671837328,,217,Naval Postgraduate School,Montpellier Business School,,
nuosat.ntnu.no,,ntnu.no,0.795673825,,329,Norwegian University of Science and Technology,Southwestern University of Finance and Economics,,
ntu.ntu.edu.sg,,ntu.edu.sg,1,,457,Nanyang Technological University,Nanyang Technological University,TRUE,457
ntu.ntu.edu.tw,,ntu.edu.tw,0.877115385,,271,National Taiwan University,National University of Singapore,,
nu.nu.edu.kz,,nu.edu.kz,0.651515152,,527,Nazarbayev University,Macquarie University,,
nuos.nus.edu.sg,,nus.edu.sg,1,,271,National University of Singapore,National University of Singapore,TRUE,271
frbony.ny.frb.org,,ny.frb.org,1,,25,Federal Reserve Bank of New York,Federal Reserve Bank of New York,TRUE,25
nyu.nyu.edu,,nyu.edu,1,,50,New York University,New York University,TRUE,50
ou.oakland.edu,,oakland.edu,0.736111111,,484,Oakland University,Auckland University of Technology,,
ootcotc.treas.gov,,treas.gov,0.699470899,,53,Office of the Comptroller of the Currency,Centre for Economic Policy Research,,
ofecad.oecd.org,,oecd.org,0.865311002,,40,Organisation for Economic Co-operation and Development,Organisation de Coopération et de Développement Économiques,TRUE,40
ouoi.openu.ac.il,,openu.ac.il,0.702991453,,69,Open University of Israel,University of Notre Dame,,
osu.oregonstate.edu,,oregonstate.edu,0.853146853,,264,Oregon State University,Ohio State University,,
uoo.ou.edu,,ou.edu,0.79047619,,345,University of Oklahoma,University of Tokyo,,
vu.vanderbilt.edu,,vanderbilt.edu,1,,124,Vanderbilt University,Vanderbilt University,TRUE,124
ou.ozyegin.edu.tr,,ozyegin.edu.tr,0.713095238,,465,Ozyegin University,Peking University,,
parc.parc.com,,parc.com,0.728504983,,425,Palo Alto Research Center,National Research University Higher School of Economics,,
psoe.parisschoolofeconomics.eu,,parisschoolofeconomics.eu,1,,12,Paris School of Economics,Paris School of Economics,TRUE,12
tu.tsinghua.edu.cn,,tsinghua.edu.cn,1,,310,Tsinghua University,Tsinghua University,TRUE,310
uop.pdn.ac.lk,,pdn.ac.lk,0.834126984,,55,University of Peradeniya,University of Pennsylvania,,
frbop.phil.frb.org,,phil.frb.org,1,,125,Federal Reserve Bank of Philadelphia,Federal Reserve Bank of Philadelphia,TRUE,125
pifcir.pik-potsdam.de,,pik-potsdam.de,0.726568054,,212,Potsdam Institute for Climate Impact Research,Economic and Social Research Institute,,
puom.polimi.it,,polimi.it,0.6627983,,12,Polytechnic University of Milan,Paris School of Economics,,
pdt.polito.it,,polito.it,0.676806286,,427,Politecnico di Torino,Politechnika Wrocławska,,
ep.polytechnique.edu,,polytechnique.edu,0.667105263,,482,Ecole Polytechnique,École Polytechnique Fédérale de Lausanne,,
thkpu.polyu.hk,,polyu.hk,0.661172161,,345,The Hong Kong Polytechnic University,University of Tokyo,,
pc.pomona.edu,,pomona.edu,0.857142857,,100,Pomona College,Boston College,,
tau.tau.ac.il,,tau.ac.il,1,,407,Tel Aviv University,Tel Aviv University,TRUE,407
pu.princeton.edu,,princeton.edu,1,,20,Princeton University,Princeton University,TRUE,20
phehpns8ag{t144prt3c.保存,,保存,0.527777778,,69,"Prof. Hester Eisenstein hester1@ prodigy. net Soc. 83300–GENDER and GLOBALIZATION {23377} Tuesdays, 11: 45–1: 45 pm, Room TBA, 3 credits",University of Notre Dame,,
psu.psu.edu,,psu.edu,1,,250,Pennsylvania State University,Pennsylvania State University,TRUE,250
pu.purdue.edu,,purdue.edu,1,,219,Purdue University,Purdue University,TRUE,219
qmuol.qmul.ac.uk,,qmul.ac.uk,1,,119,Queen Mary University of London,Queen Mary University of London,TRUE,119
qub.qub.ac.uk,,qub.ac.uk,0.9,,231,Queen's University Belfast,Queen's University,,
quot.qut.edu.au,,qut.edu.au,0.835869565,,231,Queensland University of Technology,Queen's University,,
uor.reading.ac.uk,,reading.ac.uk,1,,534,University of Reading,University of Reading,TRUE,534
rftfwd.rff.org,,rff.org,0.910714286,,408,"Resources for the Future, Washington DC",University of Washington,,
rhuol.rhul.ac.uk,,rhul.ac.uk,0.805675806,,194,"Royal Holloway, University of London",University of Hong Kong,,
ru.rice.edu,,rice.edu,0.76,,377,Rice University,RMIT University,,
frbor.rich.frb.org,,rich.frb.org,1,,197,Federal Reserve Bank of Richmond,Federal Reserve Bank of Richmond,TRUE,197
uor.richmond.edu,,richmond.edu,0.79,,534,University of Richmond,University of Reading,,
ruoc.ruc.edu.cn,,ruc.edu.cn,0.699470899,,73,Renmin University of China,University of Michigan,,
uor.rochester.edu,,rochester.edu,1,,293,University of Rochester,University of Rochester,TRUE,293
rpi.rpi.edu,,rpi.edu,0.716852227,,212,Rensselaer Polytechnic Institute,Economic and Social Research Institute,,
rsftpob.rspb.org.uk,,rspb.org.uk,0.693011849,,34,Royal Society for the Protection of Birds,International Food Policy Research Institute,,
uog.rug.nl,,rug.nl,0.796632997,,220,University of Groningen,University of Georgia,,
su.sabanciuniv.edu,,sabanciuniv.edu,0.666666667,,448,Sabanci University,Chapman University,,
sjtu.sjtu.edu.cn,,sjtu.edu.cn,0.830921053,,536,Shanghai Jiao Tong University,Shanghai University of Finance and Economics,,
uosd.sdu.dk,,sdu.dk,0.874603175,,54,University of Southern Denmark,University of Southern California,,
sfi.santafe.edu,,santafe.edu,0.800362319,,353,Santa Fe Institute,Swiss Finance Institute,,
sii.sas.com,,sas.com,0.798209719,,353,SAS Institute Inc,Swiss Finance Institute,,
sp.sciencespo.fr,,sciencespo.fr,1,,26,Sciences Po,Sciences Po,TRUE,26
scu.scu.edu,,scu.edu,0.723544974,,15,Santa Clara University,Banca d'Italia,,
su.sdu.edu.cn,,sdu.edu.cn,0.75,,14,Shandong University,Stanford University,,
frbosf.sf.frb.org,,sf.frb.org,1,,81,Federal Reserve Bank of San Francisco,Federal Reserve Bank of San Francisco,TRUE,81
sfu.sfu.ca,,sfu.ca,1,,330,Simon Fraser University,Simon Fraser University,TRUE,330
uos.shef.ac.uk,,shef.ac.uk,1,,498,University of Sheffield,University of Sheffield,TRUE,498
shu.shu.edu,,shu.edu,0.833535354,,320,Seton Hall University,Seoul National University,,
siue.siue.edu,,siue.edu,0.653846154,,534,"Southern Illinois University, Edwardsville",University of Reading,,
sbs.skema.edu,,skema.edu,1,,396,SKEMA Business School,SKEMA Business School,TRUE,396
smu.smu.edu.sg,,smu.edu.sg,0.723495459,,537,Singapore Management University,Asian Development Bank,,
snu.snu.ac.kr,,snu.ac.kr,1,,320,Seoul National University,Seoul National University,TRUE,320
su.sogang.ac.kr,,sogang.ac.kr,0.671957672,,14,Sogang University,Stanford University,,
uos.soton.ac.uk,,soton.ac.uk,1,,466,University of Southampton,University of Southampton,TRUE,466
spu.spu.edu,,spu.edu,0.664880952,,141,Seattle Pacific University,Texas A&M University,,
sn.ssb.no,,ssb.no,0.631652661,,336,Statistics Norway,Institute for Fiscal Studies,,
uosa.st-andrews.ac.uk,,st-andrews.ac.uk,0.777777778,,69,University of St Andrews,University of Notre Dame,,
siot.stevens.edu,,stevens.edu,0.787835249,,78,Stevens Institute of Technology,Beijing Institute of Technology,,
uos.stir.ac.uk,,stir.ac.uk,0.808888889,,279,University of Stirling,University of Birmingham,,
frbosl.stls.frb.org,,stls.frb.org,1,,63,Federal Reserve Bank of St. Louis,Federal Reserve Bank of St. Louis,TRUE,63
suonyasb.stonybrook.edu,,stonybrook.edu,0.731182796,,202,State University of New York at Stony Brook,University of York,,
uos.strath.ac.uk,,strath.ac.uk,0.791452991,,462,University of Strathclyde,University of Utah,,
su.suffolk.edu,,suffolk.edu,0.658333333,,441,Suffolk University,York University,,
uos.surrey.ac.uk,,surrey.ac.uk,1,,311,University of Surrey,University of Surrey,TRUE,311
uos.sussex.ac.uk,,sussex.ac.uk,1,,150,University of Sussex,University of Sussex,TRUE,150
suofae.swufe.edu.cn,,swufe.edu.cn,1,,329,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,TRUE,329
uos.sydney.edu.au,,sydney.edu.au,1,,163,University of Sydney,University of Sydney,TRUE,163
su.syr.edu,,syr.edu,1,,364,Syracuse University,Syracuse University,TRUE,364
tbs.tbs-education.fr,,tbs-education.fr,0.870512821,,29,Toulouse Business School,Toulouse School of Economics,TRUE,29
tu.tu.ac.th,,tu.ac.th,0.708333333,,448,Thammasat University,Chapman University,,
tcd.tcd.ie,,tcd.ie,1,,288,Trinity College Dublin,Trinity College Dublin,TRUE,288
tcu.tcu.edu,,tcu.edu,0.86,,141,Texas Christian University,Texas A&M University,,
t.technion.ac.il,,technion.ac.il,0.688596491,,221,Technion,University of Technology Sydney,,
tu.temple.edu,,temple.edu,0.742857143,,357,Temple University,Tulane University,,
tu.tilburguniversity.edu,,tilburguniversity.edu,0.694444444,,159,Tilburg University,University of Pittsburgh,,
tu.towson.edu,,towson.edu,0.80952381,,38,Towson University,Boston University,,
tsoe.univ-tlse1.fr,,univ-tlse1.fr,1,,29,Toulouse School of Economics,Toulouse School of Economics,TRUE,29
ttu.ttu.edu,,ttu.edu,0.867272727,,141,Texas Tech University,Texas A&M University,,
tuot.ttu.ee,,ttu.ee,0.791468254,,484,Tallinn University of Technology,Auckland University of Technology,,
tu.tufts.edu,,tufts.edu,1,,287,Tufts University,Tufts University,TRUE,287
tu.tulane.edu,,tulane.edu,1,,357,Tulane University,Tulane University,TRUE,357
tuom.tum.de,,tum.de,0.692307692,,23,Technical University of Munich,Institute of Labor Economics,,
vuot.tuwien.ac.at,,tuwien.ac.at,0.767919799,,484,Vienna University of Technology,Auckland University of Technology,,
uow.uw.edu,,uw.edu,1,,408,University of Washington,University of Washington,TRUE,408
uoa.uantwerpen.be,,uantwerpen.be,0.805555556,,416,University of Antwerp,University of Alberta,,
auob.uab.cat,,uab.cat,0.699108734,,3,Autonomous University of Barcelona,National Bureau of Economic Research,,
uoa.ualberta.ca,,ualberta.ca,1,,416,University of Alberta,University of Alberta,TRUE,416
udlas.uandes.cl,,uandes.cl,0.754166667,,408,"Universidad de los Andes, Santiago",University of Washington,,
uoa.uark.edu,,uark.edu,0.786666667,,113,University of Arkansas,University of Maryland,,
uob.ub.edu,,ub.edu,0.830976431,,416,University of Barcelona,University of Alberta,,
pcuoc.puc.cl,,puc.cl,0.839444444,,367,Pontifical Catholic University of Chile,Pontificia Universidad Católica de Chile,,
uoc.uc.edu,,uc.edu,0.805555556,,9,University of Cincinnati,University of Chicago,,
uoc.ucalgary.ca,,ucalgary.ca,1,,445,University of Calgary,University of Calgary,TRUE,445
uocaos.ucas.ac.cn,,ucas.ac.cn,0.726851852,,329,University of Chinese Academy of Sciences,Southwestern University of Finance and Economics,,
ucd.ucd.ie,,ucd.ie,1,,255,University College Dublin,University College Dublin,TRUE,255
uocd.ucdavis.edu,,ucdavis.edu,0.703703704,,165,"University of California, Davis",HEC Paris,,
uocd.ucdenver.edu,,ucdenver.edu,0.917647059,,237,University of Colorado Denver,University of Colorado,,
uoci.uci.edu,,uci.edu,0.787142857,,182,"University of California, Irvine",University of Virginia,,
ucl.ucl.ac.uk,,ucl.ac.uk,1,,31,University College London,University College London,TRUE,31
uocm.ucmerced.edu,,ucmerced.edu,0.742857143,,535,"University of California, Merced",University of Leeds,,
uocr.ucr.edu,,ucr.edu,0.688888889,,114,"University of California, Riverside",Aarhus Universitet,,
uocsc.ucsc.edu,,ucsc.edu,0.675757576,,298,"University of California, Santa Cruz",Lancaster University,,
uocsd.ucsd.edu,,ucsd.edu,0.831666667,,534,"University of California, San Diego",University of Reading,,
uoc.ucy.ac.cy,,ucy.ac.cy,0.844444444,,286,University of Cyprus,University of Piraeus,,
uod.udayton.edu,,udayton.edu,0.812121212,,487,University of Dayton,University of Cape Town,,
uod.udel.edu,,udel.edu,0.784550265,,416,University of Delaware,University of Alberta,,
uoea.uea.ac.uk,,uea.ac.uk,0.836797121,,305,University of East Anglia,University of Western Australia,,
uog.ug.edu.gh,,ug.edu.gh,0.79047619,,73,University of Ghana,University of Michigan,,
uog.uga.edu,,uga.edu,1,,220,University of Georgia,University of Georgia,TRUE,220
gu.ugent.be,,ugent.be,0.733333333,,505,Ghent University,Government of Norway,,
uoibae.uibe.edu.cn,,uibe.edu.cn,0.741762561,,329,University of International Business and Economics,Southwestern University of Finance and Economics,,
uoi.uibk.ac.at,,uibk.ac.at,0.772121212,,321,University of Innsbruck,University of Kentucky,,
uoiac.uic.edu,,uic.edu,0.886566416,,334,University of Illinois at Chicago,University of Illinois at Urbana-Champaign,,
uoi.uiowa.edu,,uiowa.edu,0.796825397,,504,University of Iowa,University of Miami,,
uos.uis.no,,uis.no,0.767580568,,416,University of Stavanger,University of Alberta,,
uok.ukzn.ac.za,,ukzn.ac.za,0.76042328,,192,University of KwaZulu-Natal,University of Waikato,,
uol.uleth.ca,,uleth.ca,0.838383838,,96,University of Lethbridge,University of Cambridge,,
uom.um.es,,um.es,0.845833333,,504,University of Murcia,University of Miami,,
uom.umich.edu,,umich.edu,1,,73,University of Michigan,University of Michigan,TRUE,73
uomc.umkc.edu,,umkc.edu,0.890909091,,539,University of Missouri-Kansas City,University of Missouri,,
uoml.uml.edu,,uml.edu,0.69047619,,93,"University of Massachusetts, Lowell",Cornell University,,
uom.umontreal.ca,,umontreal.ca,0.826666667,,113,University of Montreal,University of Maryland,,
un.un.org,,un.org,1,,436,United Nations,United Nations,TRUE,436
uon.unamur.be,,unamur.be,0.79047619,,539,University of Namur,University of Missouri,,
uoncac.uncc.edu,,uncc.edu,0.688127964,,34,University of North Carolina at Charlotte,International Food Policy Research Institute,,
uoncag.uncg.edu,,uncg.edu,0.70683319,,425,University of North Carolina at Greensboro,National Research University Higher School of Economics,,
uob.uni-bayreuth.de,,uni-bayreuth.de,0.784550265,,416,University of Bayreuth,University of Alberta,,
uob.uni-bremen.de,,uni-bremen.de,0.825,,279,University of Bremen,University of Birmingham,,
uoh.uni-hamburg.de,,uni-hamburg.de,0.843771044,,96,University of Hamburg,University of Cambridge,,
uoh.uni-hohenheim.de,,uni-hohenheim.de,0.693181818,,363,University of Hohenheim,University of Oregon,,
uok.uni-konstanz.de,,uni-konstanz.de,0.844444444,,388,University of Konstanz,University of Kent,,
uow.uni-wuerzburg.de,,uni-wuerzburg.de,0.65959596,,472,University of Würzburg,University of Edinburgh,,
uob.uniba.it,,uniba.it,0.857407407,,229,University of Bari,University of Bristol,,
uob.unibas.ch,,unibas.ch,0.82962963,,229,University of Basel,University of Bristol,,
uob.unibg.it,,unibg.it,0.822222222,,416,University of Bergamo,University of Alberta,,
uob.unibo.it,,unibo.it,0.804444444,,237,University of Bologna,University of Colorado,,
bu.unibocconi.it,,unibocconi.it,0.823809524,,38,Bocconi University,Boston University,,
fuob.unibz.it,,unibz.it,0.650793651,,207,Free University of Bozen-Bolzano,Federal Reserve Bank of Boston,,
uof.unifr.ch,,unifr.ch,0.823030303,,472,University of Fribourg,University of Edinburgh,,
uog.unige.ch,,unige.ch,0.836111111,,220,University of Geneva,University of Georgia,,
uol.unil.ch,,unil.ch,0.791111111,,157,University of Lausanne,University of Queensland,,
uom.unimi.it,,unimi.it,0.891428571,,73,University of Milan,University of Michigan,,
uonfi.unina.it,,unina.it,0.788571429,,535,University of Naples Federico II,University of Leeds,,
uop.unipd.it,,unipd.it,0.795833333,,128,University of Padova,University of Pretoria,,
uop.unipg.it,,unipg.it,0.881481481,,220,University of Perugia,University of Georgia,,
uop.unipi.gr,,unipi.gr,1,,286,University of Piraeus,University of Piraeus,TRUE,286
suor.uniroma1.it,,uniroma1.it,0.710153257,,198,Sapienza University of Rome,"""Sapienza"" Università di Roma",,
uortv.uniroma2.it,,uniroma2.it,0.765185185,,128,University of Rome Tor Vergata,University of Pretoria,,
uosg.unisg.ch,,unisg.ch,0.822619048,,518,University of St. Gallen,University of Stellenbosch,,
uos.unistra.fr,,unistra.fr,0.763352827,,305,University of Strasbourg,University of Western Australia,,
uot.unitn.it,,unitn.it,0.885648148,,71,University of Trento,University of Toronto,,
uov.univie.ac.at,,univie.ac.at,0.87,,182,University of Vienna,University of Virginia,,
uon.unl.edu,,unl.edu,0.697876198,,22,University of Nebraska-Lincoln,Bank of England,,
uonlv.unlv.edu,,unlv.edu,0.73,,416,"University of Nevada, Las Vegas",University of Alberta,,
uono.uno.edu,,uno.edu,0.792094017,,69,University of New Orleans,University of Notre Dame,,
uonsw.unsw.edu.au,,unsw.edu.au,0.786096257,,164,University of New South Wales,University of Minnesota,,
uont.unt.edu,,unt.edu,0.844017094,,69,University of North Texas,University of Notre Dame,,
uog.uoguelph.ca,,uoguelph.ca,1,,514,University of Guelph,University of Guelph,TRUE,514
uoo.uoregon.edu,,uoregon.edu,1,,363,University of Oregon,University of Oregon,TRUE,363
uoo.uottawa.ca,,uottawa.ca,0.8,,89,University of Ottawa,University of Nottingham,,
pfu.upf.edu,,upf.edu,0.62970363,,117,Pompeu Fabra University,University of Melbourne,,
ui.urban.org,,urban.org,0.89005848,,415,Urban Institute,European University Institute,,
uori.uri.edu,,uri.edu,0.798148148,,534,University of Rhode Island,University of Reading,,
udr.urosario.edu.co,,urosario.edu.co,0.915731225,,342,Universidad del Rosario,Universidade de Lisboa,,
uosdc.usc.es,,usc.es,0.784848485,,69,University of Santiago de Compostela,University of Notre Dame,,
udoa.usda.gov,,usda.gov,0.731247784,,361,US Department of Agriculture,Università degli Studi Roma Tre,,
uosf.usf.edu,,usf.edu,0.898095238,,533,University of South Florida,University of South Africa,,
uol.usi.ch,,usi.ch,0.8,,169,University of Lugano,University of Glasgow,,
uosp.usp.br,,usp.br,0.81745338,,466,University of São Paulo,University of Southampton,,
thkuosat.ust.hk,,ust.hk,0.674594465,,425,The Hong Kong University of Science and Technology,National Research University Higher School of Economics,,
usu.usu.edu,,usu.edu,1,,519,Utah State University,Utah State University,TRUE,519
uotaa.uta.edu,,uta.edu,0.867142857,,65,University of Texas at Arlington,University of Texas-Austin,,
uotad.utdallas.edu,,utdallas.edu,0.840504202,,65,University of Texas at Dallas,University of Texas-Austin,,
uot.utk.edu,,utk.edu,0.904761905,,431,University of Tennessee,University of Tennessee-Knoxville,,
uots.uts.edu.au,,uts.edu.au,1,,221,University of Technology Sydney,University of Technology Sydney,TRUE,221
uotasa.utsa.edu,,utsa.edu,0.847186147,,65,University of Texas at San Antonio,University of Texas-Austin,,
uu.uu.nl,,uu.nl,0.765151515,,193,Utrecht University,Maastricht University,,
uov.uv.es,,uv.es,0.804444444,,416,University of Valencia,University of Alberta,,
uoa.uva.nl,,uva.nl,0.82996633,,416,University of Amsterdam,University of Alberta,,
uov.uvic.ca,,uvic.ca,0.88,,182,University of Victoria,University of Virginia,,
udv.uvigo.es,,uvigo.es,0.928421053,,325,Universidad de Vigo,Universidad de Chile,,
uowa.uwa.edu.au,,uwa.edu.au,1,,305,University of Western Australia,University of Western Australia,TRUE,305
uow.uwaterloo.ca,,uwaterloo.ca,0.853333333,,192,University of Waterloo,University of Waikato,,
uow.uwm.edu,,uwm.edu,0.887418546,,151,University of Wisconsin-Milwaukee,University of Wisconsin-Madison,,
uow.uwyo.edu,,uwyo.edu,0.805555556,,408,University of Wyoming,University of Washington,,
vc.vassar.edu,,vassar.edu,0.734173669,,83,Vassar College,Dartmouth College,,
vcu.vcu.edu,,vcu.edu,0.672931235,,360,Virginia Commonwealth University,Carnegie Mellon University,,
vu.villanova.edu,,villanova.edu,0.666666667,,298,Villanova University,Lancaster University,,
vpiasu.vt.edu,,vt.edu,0.750595385,,34,Virginia Polytechnic Institute and State University,International Food Policy Research Institute,,
vu.vu.edu.au,,vu.edu.au,0.885714286,,502,Victoria University,Victoria University of Wellington,,
vua.vu.nl,,vu.nl,0.724460724,,416,VU University Amsterdam,University of Alberta,,
uow.waikato.ac.nz,,waikato.ac.nz,1,,192,University of Waikato,University of Waikato,TRUE,192
uow.warwick.ac.uk,,warwick.ac.uk,1,,77,University of Warwick,University of Warwick,TRUE,77
wu.waseda.jp,,waseda.jp,1,,522,Waseda University,Waseda University,TRUE,522
wsu.wayne.edu,,wayne.edu,0.783333333,,211,Wayne State University,Michigan State University,,
wc.wellesley.edu,,wellesley.edu,1,,490,Wellesley College,Wellesley College,TRUE,490
wu.wesleyan.edu,,wesleyan.edu,0.709401709,,43,Wesleyan University,Northwestern University,,
wfu.wfu.edu,,wfu.edu,0.696296296,,235,Wake Forest University,George Washington University,,
w-obsom.whu.edu,,whu.edu,0.684372969,,329,WHU - Otto Beisheim School of Management,Southwestern University of Finance and Economics,,
wu.whu.edu.cn,,whu.edu.cn,0.746031746,,357,Wuhan University,Tulane University,,
wifaaas.wias-berlin.de,,wias-berlin.de,0.707915361,,34,Weierstrass Institute for Applied Analysis and Stochastics,International Food Policy Research Institute,,
wsu.wichita.edu,,wichita.edu,0.841125541,,519,Wichita State University,Utah State University,,
wc.williams.edu,,williams.edu,1,,371,Williams College,Williams College,TRUE,371
jlug.uni-giessen.de,,uni-giessen.de,0.650345365,,479,Justus Liebig University Giessen,Università degli Studi di Verona,,
uom.uni-muenster.de,,uni-muenster.de,0.86712963,,302,University of Münster,University of Manchester,,
wlu.wlu.ca,,wlu.ca,0.648148148,,204,Wilfrid Laurier University,Université Paris 1,,
cowam.wm.edu,,wm.edu,0.734722222,,371,College of William and Mary,Williams College,,
wneu.wne.edu,,wne.edu,0.676034858,,329,Western New England University,Southwestern University of Finance and Economics,,
wb.worldbank.org,,worldbank.org,0.925,,2,World Bank,World Bank Group,TRUE,2
wsu.wsu.edu,,wsu.edu,0.867086835,,270,Washington State University,Washington University in St. Louis,,
vuoeab.wu.ac.at,,wu.ac.at,0.80453149,,213,Vienna University of Economics and Business,Athens University of Economics and Business,,
wuisl.wustl.edu,,wustl.edu,1,,270,Washington University in St. Louis,Washington University in St. Louis,TRUE,270
wwu.wwu.edu,,wwu.edu,0.71871345,,235,Western Washington University,George Washington University,,
wbssc.wzb.eu,,wzb.eu,0.704031714,,212,WZB Berlin Social Science Center,Economic and Social Research Institute,,
xu.xmu.edu.cn,,xmu.edu.cn,1,,296,Xiamen University,Xiamen University,TRUE,296
yc.yale-nus.edu.sg,,yale-nus.edu.sg,0.8625,,35,Yale-NUS College,Yale University,,
yu.yonsei.ac.kr,,yonsei.ac.kr,0.714285714,,17,Yonsei University,Monash University,,
uoy.york.ac.uk,,york.ac.uk,1,,202,University of York,University of York,TRUE,202
aecom.yu.edu,,yu.edu,0.68973249,,261,Albert Einstein College of Medicine,Università Politecnica delle Marche,,
asu.appstate.edu,,appstate.edu,0.737229437,,177,Appalachian State University,Arizona State University,,
au.aston.ac.uk,,aston.ac.uk,0.796296296,,309,Aston University,Carleton University,,
bc.bates.edu,,bates.edu,0.835014985,,100,Bates College,Boston College,,
bu.binghamton.edu,,binghamton.edu,0.737373737,,310,Binghamton University,Tsinghua University,,
bsu.boisestate.edu,,boisestate.edu,0.749206349,,176,Boise State University,Georgia State University,,
bsu.bsu.edu,,bsu.edu,0.818181818,,338,Ball State University,Iowa State University,,
cpsuslo.calpoly.edu,,calpoly.edu,0.7,,271,"California Polytechnic State University, San Luis Obispo",National University of Singapore,,
cc.canisius.edu,,canisius.edu,0.805555556,,371,Canisius College,Williams College,,
uoc.canterbury.ac.nz,,canterbury.ac.nz,0.833333333,,445,University of Canterbury,University of Calgary,,
c.citadel.edu,,citadel.edu,0.68994709,,309,Citadel,Carleton University,,
cu.cqu.edu.cn,,cqu.edu.cn,0.731168831,,194,Chongqing University,University of Hong Kong,,
csueb.csueastbay.edu,,csueastbay.edu,0.783882784,,177,California State University East Bay,Arizona State University,,
csu.csuohio.edu,,csuohio.edu,0.763888889,,211,Cleveland State University,Michigan State University,,
rau.rwth-aachen.de,,rwth-aachen.de,0.692279942,,338,RWTH Aachen University,Iowa State University,,
hu.hanyang.ac.kr,,hanyang.ac.kr,0.75,,448,Hanyang University,Chapman University,,
cnu.jbnu.ac.kr,,jbnu.ac.kr,0.724183007,,320,Chonbuk National University,Seoul National University,,
khu.khu.ac.kr,,khu.ac.kr,0.685185185,,76,Kyung Hee University,KU Leuven,,
lc.lafayette.edu,,lafayette.edu,0.698039216,,35,Lafayette College,Yale University,,
lu.lnu.se,,lnu.se,0.703703704,,286,Linnaeus University,University of Piraeus,,
sdsu.sdsu.edu,,sdsu.edu,0.711363636,,338,San Diego State University,Iowa State University,,
uom.maine.edu,,maine.edu,0.871428571,,302,University of Maine,University of Manchester,,
csom.mines.edu,,mines.edu,0.767917268,,16,Colorado School of Mines,Barcelona School of Economics,,
nuoim.nuim.ie,,nuim.ie,0.685185185,,113,"National University of Ireland, Maynooth",University of Maryland,,
uoaab.uab.edu,,uab.edu,0.822342995,,416,University of Alabama at Birmingham,University of Alberta,,
qu.qu.edu.qa,,qu.edu.qa,0.711111111,,298,Qatar University,Lancaster University,,
rc.rand.org,,rand.org,0.85,,526,RAND Corporation,RAND,TRUE,526
su.skku.edu,,skku.edu,0.653846154,,310,Sungkyunkwan University,Tsinghua University,,
sc.smith.edu,,smith.edu,0.761172161,,100,Smith College,Boston College,,
uosa.southalabama.edu,,southalabama.edu,0.876190476,,533,University of South Alabama,University of South Africa,,
sc.stonehill.edu,,stonehill.edu,0.790849673,,371,Stonehill College,Williams College,,
sc.swarthmore.edu,,swarthmore.edu,0.748054777,,83,Swarthmore College,Dartmouth College,,
euot.tue.nl,,tue.nl,0.775920121,,78,Eindhoven University of Technology,Beijing Institute of Technology,,
ubd.ubd.edu.bn,,ubd.edu.bn,0.876862611,,186,Universiti Brunei Darussalam,Université de Lausanne,,
ucc.ucc.ie,,ucc.ie,0.887179487,,31,University College Cork,University College London,,
uomb.umb.edu,,umb.edu,0.902371542,,521,University of Massachusetts Boston,University of Massachusetts-Amherst,,
uombc.umbc.edu,,umbc.edu,0.730882353,,363,"University of Maryland, Baltimore County",University of Oregon,,
umk.umk.edu.my,,umk.edu.my,0.870938375,,547,Universiti Malaysia Kelantan,Universitá della Svizzera Italiana,,
nuoc.unal.edu.co,,unal.edu.co,0.873082707,,271,National University of Colombia,National University of Singapore,,
uonb.unb.ca,,unb.ca,0.845925926,,77,University of New Brunswick,University of Warwick,,
uonh.unh.edu,,unh.edu,0.813333333,,69,University of New Hampshire,University of Notre Dame,,
cuob.uni-corvinus.hu,,uni-corvinus.hu,0.672020961,,186,Corvinus University of Budapest,Université de Lausanne,,
uop.unipi.it,,unipi.it,0.877777778,,286,University of Pisa,University of Piraeus,,
uonm.unm.edu,,unm.edu,0.805555556,,69,University of New Mexico,University of Notre Dame,,
uonr.unr.edu,,unr.edu,0.76,,128,"University of Nevada, Reno",University of Pretoria,,
uosf.usfca.edu,,usfca.edu,0.808888889,,533,University of San Francisco,University of South Africa,,
