--GNzKcAAAAJ,Callum Jones,Federal Reserve Board,frb.gov,944,850,13,12,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,24.0,14.0,18.0,16.0,36.0,73.0,248.0,230,230.0,22.0,ufrb.frb.gov
--jXOV0AAAAJ,Eric Green,Duke Global Health Institute,duke.edu,1823,1334,21,19,30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,14.0,14.0,15.0,31.0,35.0,42.0,64.0,89.0,136.0,134.0,152.0,244.0,378,380.0,38.0,du.duke.edu
-32IP5AAAAAJ,Rocco Huang,HKMA (previously Fed and MSU),bus.msu.edu,1750,608,11,9,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,19.0,49.0,80.0,111.0,109.0,139.0,149.0,143.0,167.0,137.0,117.0,109.0,138.0,133,93.0,18.0,msu.msu.edu
-39VY8EAAAAJ,John Yiran Zhu,"Assistant Professor of Economics, University of Kansas",ku.edu,270,166,6,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,9.0,16.0,17.0,29.0,23.0,30.0,23.0,26.0,37,42.0,8.0,uok.ku.edu
-5klT-kAAAAJ,Yu-Wei Hsieh,Amazon,amazon.com,144,114,7,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,2.0,3.0,4.0,6.0,7.0,9.0,23.0,21.0,24,31.0,4.0,ai.amazon.com
-8PtSIcAAAAJ,Rohit Rahi,London School of Economics,lse.ac.uk,1143,268,13,9,14,8,,,,,,,,,,,,,,,,18.0,11.0,31.0,20.0,24.0,23.0,35.0,23.0,44.0,25.0,58.0,35.0,32.0,38.0,44.0,55.0,41.0,43.0,61.0,66.0,42.0,34.0,45.0,43.0,36.0,52.0,52,76.0,8.0,lsoe.lse.ac.uk
-96LVK0AAAAJ,Andrea Tambalotti,"Senior Principal Economist, Amazon.com",amazon.com,5063,3036,21,20,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,30.0,50.0,71.0,95.0,121.0,134.0,179.0,237.0,272.0,323.0,380.0,445.0,513.0,632.0,664,700.0,67.0,ai.amazon.com
-9_jSOsAAAAJ,Charles Moore,"Research Director, Algalita Marine Research and Education",algalita.org,23150,15681,33,26,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,161.0,197.0,355.0,443.0,603.0,840.0,1130.0,1439.0,1564.0,2153.0,2710.0,3448.0,3529,3372.0,469.0,
-aIdRpAAAAAJ,Stephen Williamson,"Professor of Economics, University of Western Ontario",uwo.ca,7461,1823,37,22,63,37,,,,,,,,,,44.0,43.0,63.0,65.0,80.0,85.0,90.0,115.0,113.0,152.0,176.0,151.0,186.0,167.0,211.0,218.0,232.0,222.0,227.0,204.0,241.0,268.0,268.0,271.0,276.0,268.0,338.0,348.0,369.0,362.0,388.0,312.0,352,363.0,39.0,uowo.uwo.ca
-aVcyioAAAAJ,Treb Allen,"Associate Professor of Economics, Dartmouth College",dartmouth.edu,2185,1704,12,11,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,45.0,90.0,128.0,141.0,220.0,292.0,329.0,364,446.0,50.0,dc.dartmouth.edu
-BIo058AAAAJ,Hong Yan,"Professor of Finance, SAIF",saif.sjtu.edu.cn,3349,1249,18,14,23,15,,,,,,,,,,,,,,,,,,,,,,,,12.0,23.0,16.0,26.0,69.0,78.0,100.0,154.0,176.0,177.0,217.0,254.0,246.0,267.0,231.0,268.0,222.0,204.0,266,261.0,28.0,上.sjtu.edu.cn
-CI5NbwAAAAJ,Jack Knetsch,"Emeritus Professor, Simon Fraser University",sfu.ca,37461,9086,41,20,74,35,,,,,,122.0,102.0,131.0,160.0,153.0,204.0,287.0,303.0,338.0,442.0,362.0,382.0,444.0,467.0,465.0,543.0,575.0,800.0,794.0,871.0,1029.0,976.0,1039.0,1117.0,1262.0,1343.0,1452.0,1494.0,1614.0,1714.0,1660.0,1727.0,1841.0,1931.0,1999.0,1684.0,1726,1583.0,163.0,sfu.sfu.ca
-cwunIEAAAAJ,Kathleen Fuller,"Associate Professor, University of Mississippi",olemiss.edu,4024,1442,15,11,17,11,,,,,,,,,,,,,,,,,,,,,,,12.0,26.0,36.0,72.0,94.0,100.0,114.0,150.0,161.0,203.0,242.0,221.0,239.0,255.0,295.0,315.0,291.0,263.0,297.0,304,263.0,24.0,uom.olemiss.edu
